ptax_compra,ptax_venda,ptax_mid,mt5_close,date,diff_bps_venda,diff_bps_mid
5.3532,5.3538,5.3535,5.3876,2025-10-09,63.132728155703006,63.6966470533288
5.444,5.4446,5.4443,5.4343,2025-10-10,-18.91782683760051,-18.36783424866335
5.4976,5.4982,5.4979,5.5452,2025-10-14,85.48252155250918,86.03284890594735
5.4458,5.4464,5.4460999999999995,5.4934,2025-10-15,86.29553466510097,86.85114118360073
5.4348,5.4354,5.4351,5.4867,2025-10-16,94.38127828678725,94.93845559419265
5.4384,5.439,5.4387,5.4988,2025-10-17,109.94668137525294,110.50434846562646
5.3765,5.3771,5.3768,5.42,2025-10-20,79.78278254077382,80.34518672816486
5.3842,5.3848,5.3845,5.4269,2025-10-21,78.18303372455723,78.7445445259537
5.3892,5.3898,5.3895,5.4276,2025-10-22,70.13247244795694,70.69301419426667
5.3834,5.384,5.3837,5.4293,2025-10-23,84.13818722139528,84.70011330497506
5.3791,5.3797,5.3794,5.4069,2025-10-24,50.5604401732449,51.12094285608034
5.3738,5.3744,5.3741,5.4188,2025-10-27,82.61387317654146,83.17671796207689
5.3684,5.369,5.3687000000000005,5.4085,2025-10-28,73.57049729931144,74.13340287220296
5.341,5.3416,5.3413,5.3749,2025-10-29,62.340871648945175,62.906034111545594
5.3844,5.385,5.3847000000000005,5.4181,2025-10-30,61.46703806870962,62.02759670919351
5.3837,5.3843,5.384,5.4224,2025-10-31,70.76128744683622,71.32243684992444
5.3499,5.3505,5.3502,5.3918,2025-11-03,77.18904775254587,77.75410265036794
5.384,5.3846,5.3843,5.4295,2025-11-04,83.38595253129326,83.94777408391128
5.3792,5.3798,5.3795,5.4212,2025-11-05,76.9545336257843,77.51649781578143
5.3445,5.3451,5.3448,5.3762,2025-11-06,58.18413126040572,58.748690315820326
5.3561,5.3567,5.3564,5.4002,2025-11-07,81.20671308828173,81.77133895900242
5.3175,5.3181,5.3178,5.3601,2025-11-10,78.97557398318914,79.54417240212118
5.2879,5.2885,5.2882,5.3263,2025-11-12,71.47584381204469,72.04719942513526
5.2814,5.282,5.2817,5.3213,2025-11-13,74.40363498674724,74.9758600450614
5.2946,5.2952,5.2949,5.3463,2025-11-14,96.50249282368922,97.07454342858243
5.3102,5.3108,5.3105,5.3501,2025-11-17,74.00015063643875,74.5692495998495
5.3355,5.3361,5.3358,5.3634,2025-11-18,51.160960251869945,51.72607668953206
5.334,5.3346,5.3343,5.3791,2025-11-19,83.41768829902938,83.98477775903191
5.3896,5.3902,5.3899,5.4249,2025-11-21,64.37608994100395,64.9362696896049
5.3942,5.3948,5.3945,5.4433,2025-11-24,89.9013865203525,90.46250811011207
5.3835,5.3841,5.3838,5.4148,2025-11-25,57.019743318288114,57.580147850959726
5.3688,5.3694,5.3690999999999995,5.4195,2025-11-26,93.30651469438016,93.87048108621681
5.3332,5.3338,5.3335,5.368,2025-11-28,64.1193895534145,64.6854785787952
5.3463,5.3469,5.3466000000000005,5.3822,2025-12-01,66.01956273728764,66.584371376201
5.3459,5.3465,5.3462,5.3782,2025-12-02,59.29112503506937,59.855598368935006
5.3108,5.3114,5.3111,5.3492,2025-12-03,71.16767707195812,71.73655175010832
5.2946,5.2952,5.2949,5.3269,2025-12-04,59.86553860099682,60.43551341857264
5.3399,5.3405,5.340199999999999,5.3549,2025-12-05,26.96376743750621,27.527058911651963
5.4243,5.4249,5.4246,5.4327,2025-12-08,14.37814521926595,14.931976551266038
5.4564,5.457,5.4567,5.51,2025-12-09,97.12296133406623,97.6780838235566
5.465,5.4656,5.4653,5.4931,2025-12-10,50.314695550351026,50.86637513036805
5.4231,5.4237,5.4234,5.4654,2025-12-11,76.88478345041139,77.44219493306748
5.4005,5.4011,5.4008,5.4304,2025-12-12,54.24820869822834,54.80669530439825
5.3923,5.3929,5.3926,5.4342,2025-12-15,76.58217285690384,77.14275117753932
5.4499,5.4505,5.450200000000001,5.4885,2025-12-16,69.71837446105908,70.27265054493331
5.5087,5.5093,5.509,5.53,2025-12-17,37.572831394189116,38.11944091486641
5.5277,5.5283,5.5280000000000005,5.5718,2025-12-18,78.68603368123993,79.23299565846449
5.5154,5.516,5.5157,5.5513,2025-12-19,63.99564902103033,64.54303170948478
5.5383,5.5389,5.5386,5.5671,2025-12-22,50.912636082976775,51.45704690716101
5.5637,5.5643,5.564,5.6092,2025-12-23,80.69298923494448,81.23652048885756
5.5407,5.5413,5.541,5.5855,2025-12-26,79.7646761590241,80.3104132827997
5.5733,5.5739,5.5736,5.6103,2025-12-29,65.30436498681273,65.84613176402995
5.5018,5.5024,5.5021,5.5362,2025-12-30,61.42774062227442,61.97633630795437
5.4366,5.4372,5.4369,5.4766,2026-01-02,72.46376811594304,73.01955158270474
5.4345,5.4351,5.4348,5.4832,2026-01-05,88.49883166823022,89.05571502171193
5.3791,5.3797,5.3794,5.4169,2026-01-06,69.14883729576063,69.71037662192742
5.3874,5.388,5.387700000000001,5.4262,2026-01-07,70.8982925018556,71.45906416466968
5.3854,5.386,5.3857,5.4318,2026-01-08,85.0352766431486,85.59704402398951
5.3701,5.3707,5.3704,5.4154,2026-01-09,83.22937419703155,83.79264114404873
5.3754,5.376,5.3757,5.4228,2026-01-12,87.0535714285701,87.61649645627449
5.3758,5.3764,5.3761,5.4089,2026-01-13,60.44937132653774,61.010769888952844
5.3789,5.3795,5.3792,5.4126,2026-01-14,61.52988195929014,62.09101725163652
5.384,5.3846,5.3843,5.4361,2026-01-15,95.64313040894382,96.20563490147293
5.3792,5.3798,5.3795,5.4184,2026-01-16,71.74987917766413,72.31155311831942
5.3784,5.379,5.3787,5.4243,2026-01-20,84.2163970998329,84.77884990796923
5.3362,5.3368,5.3365,5.3813,2026-01-21,83.383300854445,83.95015459570953
5.3112,5.3118,5.3115000000000006,5.3597,2026-01-22,90.17658797394532,90.74649345759121
5.2872,5.2879,5.2875499999999995,5.333,2026-01-23,85.28905614705381,85.95663397982176
5.2754,5.276,5.2757000000000005,5.3163,2026-01-26,76.38362395754402,76.95661239266737
5.2386,5.2392,5.2389,5.2798,2026-01-27,77.4927469842715,78.06982381797651
5.1832,5.1838,5.1835,5.2156,2026-01-28,61.344959296270105,61.92726921963884
5.195,5.1956,5.1953,5.2126,2026-01-29,32.71999384094301,33.29932823898627
5.2295,5.2301,5.2298,5.2644,2026-01-30,65.58192003976978,66.15931775593748
5.2581,5.2587,5.2584,5.2908,2026-02-02,61.04170232186623,61.61570059333634
5.223,5.2236,5.2233,5.251,2026-02-03,52.45424611379143,53.03160837018797
5.2353,5.2359,5.2356,5.2574,2026-02-04,41.062663534444184,41.638016655206314
5.2574,5.258,5.2577,5.2813,2026-02-05,44.313427158615205,44.88654734960166
5.2335,5.2341,5.2338000000000005,5.2549,2026-02-06,39.73940123421481,40.31487638044952
5.1937,5.1943,5.194,5.237,2026-02-09,82.20549448433853,82.78783211397794
5.2015,5.2021,5.2018,5.2283,2026-02-10,50.36427596547591,50.94390403321835
5.183,5.1836,5.1833,5.2135,2026-02-11,57.68191990122616,58.264040283216836
