grupo,k_min,mean_bps,se_bps,n_eventos
"R$0,01 (placebo)",-5,-4.979603146148101,0.1038499488024685,7386
"R$0,01 (placebo)",-4,-5.01399805763412,0.09489127824134062,7386
"R$0,01 (placebo)",-3,-5.002607640518201,0.08468121419625926,7386
"R$0,01 (placebo)",-2,-5.04258818357769,0.07223138261832723,7386
"R$0,01 (placebo)",-1,-3.5429947578459235,0.06134316737685998,7386
"R$0,01 (placebo)",0,0.0,0.0,7386
"R$0,01 (placebo)",1,-0.07070304865897724,0.05062801552907743,7386
"R$0,01 (placebo)",2,-0.09597648463445617,0.0638843907865314,7386
"R$0,01 (placebo)",3,-0.12466245079729733,0.0758040828128151,7386
"R$0,01 (placebo)",4,-0.15037277114059383,0.08293165882919949,7386
"R$0,01 (placebo)",5,-0.11119697472257761,0.09338119690596455,7386
"R$0,01 (placebo)",6,-0.15054267855405956,0.09723246570180807,7386
"R$0,01 (placebo)",7,-0.24070579599003203,0.10333258779410869,7386
"R$0,01 (placebo)",8,-0.2792261042715347,0.11034178403658718,7386
"R$0,01 (placebo)",9,-0.21629327941059842,0.11624359117229702,7386
"R$0,01 (placebo)",10,-0.23581091452283487,0.12144164230394387,7386
"R$0,01 (placebo)",11,-0.24524104501597913,0.1259536856781717,7386
"R$0,01 (placebo)",12,-0.21793361382052448,0.13115920795782018,7386
"R$0,01 (placebo)",13,-0.21144854256915468,0.1334258872920544,7386
"R$0,01 (placebo)",14,-0.1708328615307435,0.13884103957012392,7386
"R$0,01 (placebo)",15,-0.188017320666709,0.14330902628062583,7386
"R$0,01 (placebo)",16,-0.11975855831571777,0.14721845397624864,7386
"R$0,01 (placebo)",17,-0.11662282856379057,0.15099046382009193,7386
"R$0,01 (placebo)",18,-0.07640051497403501,0.1552541332505892,7386
"R$0,01 (placebo)",19,-0.12037878026416007,0.15959441988260045,7386
"R$0,01 (placebo)",20,-0.07977681040765928,0.16253116577429721,7386
"R$0,01 (placebo)",21,0.0014273006446125463,0.16723641795495864,7386
"R$0,01 (placebo)",22,-0.007224817387209456,0.16926974551772483,7386
"R$0,01 (placebo)",23,0.022013822252205717,0.17267122068870167,7386
"R$0,01 (placebo)",24,0.04149269133514663,0.1766445356453704,7386
"R$0,01 (placebo)",25,0.003399530552461351,0.17946474950420463,7386
"R$0,01 (placebo)",26,0.025139805681103307,0.18201230128222712,7386
"R$0,01 (placebo)",27,0.02819923397260671,0.18452612060579374,7386
"R$0,01 (placebo)",28,0.07254178341483572,0.18824545386279107,7386
"R$0,01 (placebo)",29,0.09496695388521192,0.19082010398701826,7386
"R$0,01 (placebo)",30,0.14907753202900645,0.1928907701414097,7386
Controle (Osler),-10,-4.944213307610883,0.01755568143962634,444968
Controle (Osler),-9,-4.925500801034949,0.016818103533647568,444968
Controle (Osler),-8,-4.96623801865521,0.015915336505745604,444968
Controle (Osler),-7,-4.976454295855984,0.015102251007597777,444968
Controle (Osler),-6,-4.978079584577615,0.014138884965667137,444968
Controle (Osler),-5,-4.961845976566908,0.013037950500831714,444968
Controle (Osler),-4,-4.960356379409374,0.011882317838876062,444968
Controle (Osler),-3,-4.920587988169233,0.01063133407583032,444968
Controle (Osler),-2,-4.884890654523766,0.00891079748252915,444968
Controle (Osler),-1,-3.4200618285668716,0.007521421018848683,444968
Controle (Osler),0,0.0,0.0,444968
Controle (Osler),1,-0.124298901643688,0.005955561826101417,444968
Controle (Osler),2,-0.1381627266530039,0.007922453026312922,444968
Controle (Osler),3,-0.1540305229063919,0.009415350105620827,444968
Controle (Osler),4,-0.18569624836615933,0.010393442619415941,444968
Controle (Osler),5,-0.16619185746637946,0.011610566562126366,444968
Controle (Osler),6,-0.16577680205886905,0.012239429272004432,444968
Controle (Osler),7,-0.20540193109838661,0.013074752094235425,444968
Controle (Osler),8,-0.24867841251816156,0.013798429188823876,444968
Controle (Osler),9,-0.24818751309005346,0.014501034024403654,444968
Controle (Osler),10,-0.2755071403263116,0.015142787293178563,444968
Controle (Osler),11,-0.2844390506506962,0.015770455670320392,444968
Controle (Osler),12,-0.29278017993788663,0.016301306996759524,444968
Controle (Osler),13,-0.2814684995022864,0.016761065349905593,444968
Controle (Osler),14,-0.27670510543654436,0.017444569717781376,444968
Controle (Osler),15,-0.27339769666620783,0.018036571141550748,444968
Controle (Osler),16,-0.23110173829551378,0.018618075061682716,444968
Controle (Osler),17,-0.24352835498464576,0.019026701224033164,444968
Controle (Osler),18,-0.21529182169359054,0.019564011932788485,444968
Controle (Osler),19,-0.25823817402216837,0.020009573780872366,444968
Controle (Osler),20,-0.2389821085901221,0.02042116930507657,444968
Controle (Osler),21,-0.2351664990012719,0.021044544819906152,444968
Controle (Osler),22,-0.2563188764800106,0.02134587360091079,444968
Controle (Osler),23,-0.2905529656122779,0.021684258341720115,444968
Controle (Osler),24,-0.2879438986646496,0.022045457922973646,444968
Controle (Osler),25,-0.30371539562110317,0.022406759535635968,444968
Controle (Osler),26,-0.2838981836984692,0.022749648336730932,444968
Controle (Osler),27,-0.281086458838288,0.023086546822472454,444968
Controle (Osler),28,-0.26175866346746784,0.023448787369454924,444968
Controle (Osler),29,-0.2409811995876076,0.023816551830072877,444968
Controle (Osler),30,-0.22319908854213408,0.02406723048462042,444968
